anyone ⠁⠝⠽⠐⠕
anything ⠁⠝⠽⠹⠬
ashamed ⠁⠩⠁⠍⠫
awake ⠁⠺⠁⠅⠑
balls ⠃⠁⠇⠇⠎
beeping ⠃⠑⠑⠏⠬
birds ⠃⠊⠗⠙⠎
bleep ⠃⠇⠑⠑⠏
books ⠃⠕⠕⠅⠎
borrow ⠃⠕⠗⠗⠪
boyfriend ⠃⠕⠽⠋⠗
bucks ⠃⠥⠉⠅⠎
burned ⠃⠥⠗⠝⠫
calls ⠉⠁⠇⠇⠎
cases ⠉⠁⠎⠑⠎
charges ⠡⠜⠛⠑⠎
chatter ⠡⠁⠞⠞⠻
clears ⠉⠇⠑⠜⠎
comes ⠉⠕⠍⠑⠎
convince ⠒⠧⠔⠉⠑
discuss ⠲⠉⠥⠎⠎
disgusting ⠲⠛⠥⠌⠬
doors ⠙⠕⠕⠗⠎
dreams ⠙⠗⠂⠍⠎
drinks ⠙⠗⠔⠅⠎
drugs ⠙⠗⠥⠛⠎
everyone ⠐⠑⠽⠐⠕
everything ⠐⠑⠽⠹⠬
faces ⠋⠁⠉⠑⠎
feels ⠋⠑⠑⠇⠎
flowers ⠋⠇⠪⠻⠎
forgive ⠿⠛⠊⠧⠑
fortune ⠿⠞⠥⠝⠑
games ⠛⠁⠍⠑⠎
gasps ⠛⠁⠎⠏⠎
girls ⠛⠊⠗⠇⠎
gives ⠛⠊⠧⠑⠎
gonna ⠛⠕⠝⠝⠁
goodbye ⠛⠙⠃⠽⠑
gotta ⠛⠕⠞⠞⠁
grandfather ⠛⠗⠯⠐⠋
grandma ⠛⠗⠯⠍⠁
grandmother ⠛⠗⠯⠐⠍
grandpa ⠛⠗⠯⠏⠁
guards ⠛⠥⠜⠙⠎
guests ⠛⠥⠑⠌⠎
honour ⠓⠕⠝⠳⠗
hurry ⠓⠥⠗⠗⠽
hurts ⠓⠥⠗⠞⠎
idiot ⠊⠙⠊⠕⠞
insane ⠔⠎⠁⠝⠑
jealous ⠚⠂⠇⠳⠎
keeps ⠅⠑⠑⠏⠎
kicked ⠅⠊⠉⠅⠫
kidding ⠅⠊⠙⠙⠬
laughs ⠇⠁⠥⠣⠎
leaves ⠇⠂⠧⠑⠎
lights ⠇⠊⠣⠞⠎
likes ⠇⠊⠅⠑⠎
lives ⠇⠊⠧⠑⠎
looks ⠇⠕⠕⠅⠎
loves ⠇⠕⠧⠑⠎
madam ⠍⠁⠙⠁⠍
makes ⠍⠁⠅⠑⠎
mayor ⠍⠁⠽⠕⠗
months ⠍⠕⠝⠹⠎
moves ⠍⠕⠧⠑⠎
nights ⠝⠊⠣⠞⠎
notes ⠝⠕⠞⠑⠎
orders ⠕⠗⠙⠻⠎
panting ⠏⠁⠝⠞⠬
pardon ⠏⠜⠙⠕⠝
parents ⠏⠜⠢⠞⠎
pills ⠏⠊⠇⠇⠎
plans ⠏⠇⠁⠝⠎
plays ⠏⠇⠁⠽⠎
points ⠏⠕⠔⠞⠎
price ⠏⠗⠊⠉⠑
rules ⠗⠥⠇⠑⠎
scoffs ⠎⠉⠷⠋⠎
scream ⠎⠉⠗⠂⠍
sisters ⠎⠊⠌⠻⠎
slept ⠎⠇⠑⠏⠞
sooner ⠎⠕⠕⠝⠻
states ⠌⠁⠞⠑⠎
takes ⠞⠁⠅⠑⠎
tells ⠞⠑⠇⠇⠎
thousands ⠹⠳⠎⠯⠎
tires ⠞⠊⠗⠑⠎
towards ⠞⠪⠜⠙⠎
trees ⠞⠗⠑⠑⠎
turns ⠞⠥⠗⠝⠎
until ⠥⠝⠞⠊⠇
useless ⠥⠎⠑⠨⠎
waited ⠺⠁⠊⠞⠫
walls ⠺⠁⠇⠇⠎
wanna ⠺⠁⠝⠝⠁
wants ⠺⠁⠝⠞⠎
weeks ⠺⠑⠑⠅⠎
yelling ⠽⠑⠇⠇⠬
